Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
Secretaria de cultura e turismo;Secretaria Municipal de Cultura;Secretaria;Secretário;Colares;15;PA;PARÁ;Gestor da Pasta de Cultura;Prestação de contas enquanto secretaria;Não tenho
AMAM;Sociedade Civil;Assessora tecnica;Assessor;Belem;15;PA;PARÁ;Consultor;Nenhuma;Prazos
Secretaria de Cultura de Santa Maria do Pará;Secretaria Municipal de Cultura;Coordenador da PNAB de Santa Maria do Pará;Coordenador;Santa Maria do Pará;15;PA;PARÁ;Gestor da Pasta de Cultura;.;"Prezados membros do Ministério da Cultura,

Meu nome é Alessandro de Paulo, e atuo na coordenação da Política Nacional Aldir Blanc de Fomento à Cultura (PNAB) no município de Santa Maria do Pará, Estado do Pará. Estou entrando em contato para esclarecer uma questão relacionada à distribuição dos recursos de acordo com a Portaria MINC nº 80, de 27 de outubro de 2023.

Conforme revisão do plano de ação anteriormente enviado pela coordenação antiga, que não faz mais parte de nossa equipe, identificamos uma alocação de 75% dos recursos para a Política Nacional de Cultura Viva. No entanto, segundo o artigo 2º da mencionada portaria, os municípios que recebem valores inferiores a R$ 360.000,00 não estão sujeitos a percentuais vinculantes para tal política. Considerando que Santa Maria do Pará recebeu um total de R$191.225,00, e levando em conta a ausência de pontos e pontões de cultura registrados em nosso município, surgiram dúvidas sobre a aplicabilidade desse percentual em nossa realidade local.

Dessa forma, gostaríamos de solicitar orientações sobre a possibilidade de realocar os 75% inicialmente destinados à Política Nacional de Cultura Viva para outras áreas culturais que atendam de forma mais direta às necessidades e características de nosso município.

Agradecemos antecipadamente pela atenção e aguardamos orientações de como proceder para garantir que os recursos sejam utilizados da maneira mais eficaz possível em Santa Maria do Pará."
Prefeitura Municipal de Trairão;Prefeitura;Professor de Dança;Técnico;Trairão;15;PA;PARÁ;Agente Cultural;Cinema itinerante;Todas
Secretaria Municipal de Cultura e Turismo de Barcarena Pa;Secretaria Municipal de Cultura;Diretor de Projetos e Eventos.;Diretor;Barcarena;15;PA;PARÁ;Servidor da Pasta de Cultura;Processo de gestão;De que forma será elaborado?
MinC - Escritório  Pará;Ministério da Cultura;Técnico;Técnico;Belém;15;PA;PARÁ;Servidor da Pasta de Cultura;Quero compreender melhor sobre o porque  alguns municípios  ainda não pagaram os selecionados  em alguns efitais;Elaboração  do PAAR
Prefeitura;Prefeitura;Gestora;Indefinido;Santana do Araguaia;15;PA;PARÁ;Gestor da Pasta de Cultura;Prestação de Conta;PAAR
Fundação Cultural;Fundação;Diretor;Diretor;Abaetetuba;15;PA;PARÁ;Gestor da Pasta de Cultura;Nenhuma;Muitas
Sectur;Secretaria Municipal de Cultura;Administrativo;Indefinido;Igarapé-Açu;15;PA;PARÁ;Agente Cultural;Prestação de contas;Aplicação e inicio
Conselho Integrado dos Municípios Paraenses - COIMP;Sociedade Civil;Técnica de Cultura;Técnico;Belém;15;PA;PARÁ;Consultor;Prestação de Conta;Imposto, Editais, elaboração de PAAR
Secult Tucuruí PA;Secretaria Municipal de Cultura;Professor;Técnico;Tucuruí;15;PA;PARÁ;Agente Cultural;Nosso Plano de Ação cultural está em construção  e gostaria de assistir caso apareça algumas dúvidas...;Os critérios dia eixos.
Secretaria Municipal de Cultura, Esporte, Lazer e Turismo - CELT;Secretaria Municipal de Cultura;Auxiliar Administrativo;Auxiliar;Santana do Araguaia;15;PA;PARÁ;Servidor da Pasta de Cultura;Como fazer a prestação de contas dos projetos dos agentes culturais e fazedores de cultura para o Ministério da Cultura?;"A PNAB vai funcionar durante 5 anos com os mesmos agentes culturais e fazedores de cultura selecionados no primeiro ano de execução, ou cada ano serão lançados novos editais de seleção para selecionar novos agentes culturais? 
Como elaborar um PAAR?"
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretária;Secretário;Terra Santa;15;PA;PARÁ;Gestor da Pasta de Cultura;Várias;Varias
Secretaria Municipal de Cultura e Turismo de Castanhal- SECULT-Casyanhal;Secretaria Municipal de Cultura;Secretária;Secretário;Castanhal;15;PA;PARÁ;Gestor da Pasta de Cultura;O prazo final para utilização dos recursod;Elaboração do PAAR
Secretaria de Municipal de Cultura;Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretário;Paragominas;15;PA;PARÁ;Gestor da Pasta de Cultura;Quanto tempo tenho para lançar o edital com o recurso restante?;Até quando poderemos lançar o edital da Pnab, uma vez que o ano e eleitoral?
Departamento Municipal de Cultura;Diretoria de Cultura;Diretora;Diretor;Cumaru do Norte;15;PA;PARÁ;Gestor da Pasta de Cultura;"•Posso fazer novo edital com os rendimentos nas contas LPG?
•Posso fazer novo edital se não houve projetos aprovados ou sobrou vagas em alguma categoria?
• Tem um celular pra termos contato com alguém do Minc pra responder as dúvidas?";"• Tem uma planilha modelo pra preenchimento do PAAR?
• Quais temas não podem faltar na oitiva?"
Secretaria de cultura Desportos e Turismo;Secretaria Municipal de Cultura;Auxiliar administrativo;Auxiliar;Irituia;15;PA;PARÁ;Servidor da Pasta de Cultura;Plano de ação;Plano de ação
Secretaria de Cultura Desportos e Turismo;Secretaria Municipal de Cultura;Secretario de Cultura Desportos e Turismo;Secretário;Irituia;15;PA;PARÁ;Gestor da Pasta de Cultura;Passo a passo sobre as prestações de contas.;Passo a passo, orientação sobre a ata, plano de ação inseri dados no sistema conclusão nas prestações contas.
Departamento Municipal de Cultura;Diretoria de Cultura;Diretora de Cultura;Diretor;Cumaru do Norte;15;PA;PARÁ;Gestor da Pasta de Cultura;"•O que faço com os rendimentos das contas LPG? Posso fazer um novo edital?
•Quando ficam vagas sem ser preenchidas posso lançar novo edital?!";"*Na oitiva quais principais pontos a ressaltar? 
• Tem uma planilha pra que a gente possa preencher do PAAR
• Tem um número celular do Minc que possamos tirar as dúvidas?"
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Coordenadora;Coordenador;Castanhal;15;PA;PARÁ;Servidor da Pasta de Cultura;Prestação de contas global, pós execução dos projetos contemplados.;Diferenças ou principais diferenças entre pontos e pontões de cultura.
Secult castanhal;Secretaria Municipal de Cultura;Coordenadora;Coordenador;Castanhal;15;PA;PARÁ;Servidor da Pasta de Cultura;Se haverá prorrogação do uso recurso recebido;Quanto tempo mínimo comprovado para ser considerado pontos ou pontões cultural
Cultura;Secretaria Municipal de Cultura;Técnico;Técnico;Ponta de Pedras;15;PA;PARÁ;Agente Cultural;Prestação de contas;Já está disponível para os municípios que aderiram?
Secretaria Municipal de Cultura Turismo Esporte e Juventude;Secretaria Municipal de Cultura;Diretora de Cultura;Diretor;Matinhas;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Nenhuma;Nenhuma
Finjope;Sociedade Civil;Contadora;Contador;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Orcamento;Também
Secretaria de Cultura;Secretaria Municipal de Cultura;Gerente de Cultura;Gerente;Santa Luzia;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Ate quando podemos utilizar o não executado?;Nossa Câmara Municipal está com a pauta travada. O que podemos fazer quanto ao envio da Lei Orçamentaria?
Secretaria Municipal de Cultura Turismo Esporte e Juventude;Secretaria Municipal de Cultura;Diretora de Cultura;Diretor;Matinhas;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Nenhuma;Nenhuma
Secretaria de Cultura, Turismo, Esporte e Juventude;Secretaria Municipal de Cultura;Secretário;Secretário;Matinhas;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Data prazo para prestação de contas;Ideias de como usar
Secretaria de Cultura, Ciência e Tecnologia;Secretaria Municipal de Cultura;Gerente de Cultura;Gerente;Santa Luzia;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Até quando podemos realizar um restante não usado?;A pauta está travada na Câmara Municipal. Não ha esperança de retorno até o prazo de 180 apos a entrada dos recursos. O que podemos fazer?
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Secretária;Secretário;Duas Estradas;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Tirar dúvidas;Tirar dúvidas
Secretaria de Cultura;Secretaria Municipal de Cultura;Assessoria;Assessor;Alagoinha;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Como fazer a prestação de contas?;Como fazer o PAAR
Secretária de Cultura;Secretaria Municipal de Cultura;Secretária;Secretário;Uiraúna;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Sobre finalização;Receber mais conhecimento sobre
Secretaria de cultura e turismo;Secretaria Municipal de Cultura;Secretario;Secretário;Alagoinha;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Quais linguagens culturais serão contempladas com os recursos da lei Paulo Gustavo, e qual a previsão pra esse recurso ser liberados pra estados e municípis?;O município está Apto a receber em caso de haver alguma dependência na prestação de contas com o MinC, da LPG?
Secretaria de cultura;Secretaria Municipal de Cultura;Secretária;Secretário;Belém;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Prazos para execução;Sobre as categorias dos editais
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretário de cultura;Secretário;Bom Jesus;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Nemhuma dúvida, mas gostaria de acompanhar o evento para me manter informado.;Nemhuma dúvida, mas gostaria de acompanhar o evento para me manter informado.
CONSECUL;Conselho Municipal de Cultura;Conselheiro;Conselheiro;Sousa;25;PB;PARAÍBA;Agente Cultural;"A aplicação dos ensaios e sua obrigatoriedade.

Aplicação de recursos oriundos das aplicações";"Oitivas? É obrigatório ou simplesmente a reunião dos conselhos já resolve?

Qual percentual pode ser aplicado na Cultura Viva.

Pode se determinar Premiação?"
Prefeitura Municipal de Lucena;Prefeitura;Assistente administrativo;Auxiliar;Lucena;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Algumas duvidas;Não possuo nenhum conhecimento em relação PNAB
Companhia de Artes Lumen Dei;Sociedade Civil;Presidente;Presidente;Lagoa de Dentro;25;PB;PARAÍBA;Agente Cultural;Gostaria de conhecer mais sobre os desafios e as oportuniades que a LPG e a PNAB têm a oferecer. Acredito que essas ambas possuemum enorme potencial de transformar o cenário cultural brasileiro.;Gostaria de conhecer mais sobre os desafios e as oportuniades que a LPG e a PNAB têm a oferecer. Acredito que essas ambas possuemum enorme potencial de transformar o cenário cultural brasileiro.
Privado;Sociedade Civil;Gestor;Indefinido;Lagoa de Dentro;25;PB;PARAÍBA;Agente Cultural;Prestação de contas;"SUBSÍDIO 
E Barganhar na aquisição de bens"
CL ASSESSORIA E PRODUÇÕES ARTÍSTICA;Sociedade Civil;Empresário;Empresário;Monteiro;25;PB;PARAÍBA;Agente Cultural;Devolução do restante dos recursos ao minc.;Como beneficiar uma associação cultural
Prefeitura Municipal de Lucena;Prefeitura;Secretaria executiva da cultura;Secretário;Lucena;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Quem não pode participar da lei?;Qual a participação que ela tem na comunidade em si?
Finjope;Fundação;Contadora;Contador;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Até agora não;Até agora nao
Finjope;Fundação;Contadora;Contador;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Até agora não;Até agora nao
Fundo Municipal de Cultura;Fundo Municipal de Cultura;Contadora;Contador;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Dúvidas Contábeis;Dúvidas contábeis
SECRETARIA DE CULTURA;Secretaria Municipal de Cultura;SECRETÁRIO;Secretário;Serra da Raiz;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Prestação de contas;PAAR
SECRETARIA DE TURISMO E CULTURA;;SECRETARIO EXECUTIVO;Secretário Executivo;Bananeiras;25;PB;PARAÍBA;Gestor da Pasta de Cultura;PROCESSO DE IMPLEMENTAÇÃO DO SISTEMA DE CULTURA;EDITAIS PNAB
Secretaria Municipal de Educação, Esporte e Cultura;Secretaria Municipal de Educação;Coordenador de Cultura;Coordenador;Caiçara;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Questões referentes a prestação de contas.;Preenchimento do formulário do PAAR.
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Cuité;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Prestação de Contas;Editais.
Secretaria de cultura de Mari-PB;Secretaria Municipal de Cultura;Secretário;Secretário;Marí;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Adequações;Organização das ações
Secretaria de Cultura;Secretaria Municipal de Cultura;Agente Administrativo;Auxiliar;Lagoa de Dentro;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Quero me atualizar sobre a Lei.;Quero me atualizar sobre a Lei.
Secretaria de Cultura;Secretaria Municipal de Cultura;Acessor;Assessor;Belém;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Nenhuma dúvida;Qual a data para a finalização?
Secretaria de Cultura;Secretaria Municipal de Cultura;Assessora;Assessor;Belém;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Nenhuma dúvida;Se a PNAB TERÁ SUAS EDIÇÕES ATÉ 2027
Secretaria Especial de Cultura;Secretaria Municipal de Cultura;Secretaria Especial de Cultura;Secretário;São Bento;25;PB;PARAÍBA;Gestor da Pasta de Cultura;A lei Paulo Gustavo já executamos ano passado e já recebemos praticamente todos os projetos prontos, tem alguma plataforma do governo federal que possamos enviar esses projetos já executados?;Estamos com o pedido de crédito especial na câmara de vereadores para execução do recurso da lab, esperando votação e aprovação dos mesmos, mas já fizemos chamamentos  e escutas públicas pra elaboração do PAAR
Prefeitura municipal;Prefeitura;Sub secretária;Secretário Executivo;Gurjão;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Tudas as informações possíveis;Todas as informações possíveis
Secretaria de cultura de Itapororoca-pb;Secretaria Municipal de Cultura;Técnico administrativo;Técnico;Itapororoca;25;PB;PARAÍBA;Servidor da Pasta de Cultura;?;?
Secretaria de cultura, esporte e Turismo;Secretaria Municipal de Cultura;Secretária;Secretário;Lagoa de Dentro;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Remanejamento de recursos;Subsídio tenho que abrir edital?
Secretaria de turismo;Secretaria Municipal de Turismo;Funcionária da cultura;Indefinido;Lucena;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Até o momento nenhuma;Até o momento nenhuma
Secretaria de Cultura Municipal;Secretaria Municipal de Cultura;Secretária de Cultura;Secretário;Lucena;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Minha cidade já desenvolveu as ações relacionadas a LPG;"Todas!
Como acessar a plataforma e como desenvolver as ações. Qual o público alvo?"
Coletivo Ladeira Filmes;Sociedade Civil;Representante;Indefinido;Condado;25;PB;PARAÍBA;Agente Cultural;Não tenho nenhuma.;"Explique melhor esse 20% destinados às periferias;

Na PNAB também entra porcentagem para sistema de cotas e acessibilidade?

O Cineclube que não tem
Sede própria pode entrar como subsídios para compra de equipamentos para equipar o cineclube?"
Secretaria de Cultura, turismo, esportes e meio ambiente;Secretaria Municipal de Cultura;Diretor Administrativo de Cultura;Diretor;RIO TINTO;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Prestação de contas;Inserção de dados do PAAR
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretaria;Secretário;Serra Branca;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Formas de aplicação.;Formas de aplicação e envio de dados.
Prefeitura municipal de Coxixola;Prefeitura;Servidor agente de cultura;Indefinido;Coxixola;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Como vamos gerir os recursos destinados ao audiovisual, que é a maior parcela, em municípios que não possuem salas de cinema, cineclubes, festivais, mostra de cinema?;9. Quem pode receber recursos e desenvolver projetos pela Política Nacional Aldir Blanc (PNAB)?
Secretaria de Cultura;Secretaria Municipal de Cultura;Servidor da Pasta de Cultura;Indefinido;Aroeiras;25;PB;PARAÍBA;Servidor da Pasta de Cultura;RELATÓRIO, atas e Processo de Prestação de Contas.;Execução,  quem pode participar,  prazos de execução e prestações de contas. Processo de prestação de contas. Regras para participar e público alvo das PNAB.
Prefeitura Municipal de Coxixola;Prefeitura;Secretaria de Cultura, Turismo e Desenvolvimento econômico;Secretário;Coxixola;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Formas de aplicação/destinação e prestação de contas?;Como incluir artistas que nunca foram beneficiados e prestação de contas?
SECRETARIA MUNICIPAL DE CULTURA E TURISMO DE ZABELÊ;Secretaria Municipal de Cultura;SECRETÁRIA;Secretário;ZABELÊ;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Sobre a prestação de contas.;implementação.
Secretaria de Cultura, desporto e turismo;Secretaria Municipal de Cultura;Secretário;Secretário;Logradouro;25;PB;PARAÍBA;Gestor da Pasta de Cultura;prestação de contas;PAAR
Prefeitura Municipal de Condado;Prefeitura;Secretária de Cultura;Secretário;Condado;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Já realizei a LP G;Se no plano já é pra constar a porcentagem pra cada categoria e muitas outras dúvidas que surgem
Fundação Cultural de João Pessoa;Fundação;Assessoria Técnica;Assessor;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Sobre prestação de contas;Sobre equidade dos recursos
Sec. Executiva;Secretaria Executiva;Consultoria;Consultor;Sapé;25;PB;PARAÍBA;Consultor;Prestação de contas;"Elaboração do PAAR
Quais atividades podem ser executadas com o valor do Cultura Viva?
O Município pode abrir Editais para seleção de artistas, bandas, para eventos promovidos pelo município ou seus órgãos?"
Secult de Zabelê;Secretaria Municipal de Cultura;Assessor Execultivo;Assessor;Zabelê;25;PB;PARAÍBA;Agente Cultural;Prazos de execução.;Prazos de execução.
Funjope;Fundação;Secretária da comissão Deliberativa do FMC fundo municipal de Cultura;Secretário;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Não tenho;Não tenho
Fundo Municipal de Cultura;Fundo Municipal de Cultura;Contadora;Contador;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Regente a execução orçamentária e contábil;Referente a execução orçamentária e contabilidade
SECULT;Secretaria Municipal de Cultura;DIRETORA DE TURISMO;Diretor;Zabelê;25;PB;PARAÍBA;Servidor da Pasta de Cultura;RECURSOS REMANESCENTES;...
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Diretora de Cultura;Diretor;Zabelê;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Execução de segundo edital;Todas
Secretaria de cultura  e turismo;Secretaria Municipal de Cultura;Secretária de cultura e turismo;Secretário;Sobrado;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Saldo remanescentes  menor de 1.500.00 deverá fazer edital? Qual a melhor maneira de utilizar?;1- Quem participa do concelho de cultura pode participar dos editais?
Escritório MinC-PB;Sociedade Civil;Servidora;Indefinido;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;"1) Remanejamento dos recursos não utilizados do municípios para os Estados; 2) Prazos e processo de prestação de contas; 3) Prazo para implementação do SNC.";1) É possível modificar o PAAR após o envio do formulário? 2) Os projetos continuados da PNCV na PNAB devem ser previstos no PAAR de forma completa, ou apenas a parcela referente ao ano?
FUNDAÇÃO CULTURAL DE JOÃO PESSOA FUNJOPE;Fundação;Assessor Técnico;Assessor;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;Nenhuma;"Quanto a forma de fomento a projetos continuados de pontos de cultura considerando que os orçamentos atravessam o exercício financeiro.
Outra, com relação a obras em espaços culturais públicos."
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretário Municipal de Cultura;Secretário;Santa Cruz;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Como posso executar os recursos da LPG, quando nao houve inscriçoes nos editais?;Os recursos da PNAB podem ser utilizados nas festas juninas? Como??
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretário Municipal de Cultura;Secretário;Santa Cruz;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Como posso executar os recursos da LPG, quando nao houve inscriçoes nos editais?;Os recursos da PNAB podem ser utilizados nas festas juninas? Como??
Minc;Ministério da Cultura;Parecerista - prestador de serviço;Prestador de Serviço;João Pessoa;25;PB;PARAÍBA;Servidor da Pasta de Cultura;A prestação de contas dos projetos devem ser até dez de 2024 ou apenas o empenho deve ser até essa data?;"-Qual o prazo dos Estados lançarem seus editais após o recebimento do recurso?
-Quem fiscaliza a execução do plano de trabalho do Estado?"
IFPB;Instituto Federal;Diretor de Cultura;Diretor;João Pessoa;25;PB;PARAÍBA;Gestor da Pasta de Cultura;Os institutos federais podem submeter propostas?;Os institutos federais podem submeter propostas?
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Tecnico Administrativo;Técnico;Almirante Tamandaré;41;PR;PARANÁ;Servidor da Pasta de Cultura;Nenhuma;Nenhuma
Cultura;Secretaria Municipal de Cultura;Coordenadora;Coordenador;Santa Izabel do Oeste;41;PR;PARANÁ;Gestor da Pasta de Cultura;O uso da sobra do recurso.;"Preciso de orientações sobre: Obras, Reformas e Aquisição de bens culturais.
Aquisição de obras, bens culturais, acervo, arquivo, coleção, imóveis tombados para instalação de equipamento cultural público; realização de obras e reformas em museus, bibliotecas, centros culturais, cinematecas, teatros, territórios arqueológicos, paisagens culturais e outros espaços culturais públicos, nos termos do art. 5º, incisos VIII, IX, X e XII da Lei 14.399/2022."
DEPARTAMENTO DE CULTURA;Diretoria de Cultura;COORD. COMISSÃO LPG E PNAB;Coordenador;SANTA TEREZINHA DE ITAIPU;41;PR;PARANÁ;Servidor da Pasta de Cultura;Com relação a prestação de contas, o papel do município é apenas apresentar as documentações referentes a publicações, atas, etc. Ou há algum relatório a ser entregue?;O edital para bolsas seria regido pelo Decreto de fomento, certo? E nesse projeto os proponentes terão que apresentar valores, local, tipo de bolsa, etc? Já o edital de capacitação, direcionado pela Administração Municipal, será regido pela LLC e os temas das capacitações serão definidos em oitiva? Caso nesse chamamento não tenham empresas do município cadastrados, será possível a contratação de empresas de outras cidades?
Fundação Cultural de Campo Mourão;Fundação;Assessor;Assessor;Campo Mourão;41;PR;PARANÁ;Servidor da Pasta de Cultura;Nenhuma;Quando será disponibilizado as minutas de editais de execução da Lei Cultura Viva?
Rede regional de Cultura e Patrimonio do Oeste do Paraná;Sociedade Civil;Analista;Analista;Foz do Iguaçu;41;PR;PARANÁ;Agente Cultural;.;.
DEPARTAMENTO DE CULTURA;Diretoria de Cultura;DIRETOR;Diretor;NOVA SANTA ROSA;41;PR;PARANÁ;Gestor da Pasta de Cultura;"Ainda não iniciei a construção dos editais de chamamento público.
Vou acompanhar e dúvidas que surgirem, digitarei no momento do evento virtual.";"Ainda não iniciei a construção dos editais de chamamento público.
Vou acompanhar e dúvidas que surgirem, digitarei no momento do evento virtual."
Secretaria da Educação e Cultura;Secretaria Municipal de Educação;Diretor de Cultura;Diretor;Campina da Lagoa;41;PR;PARANÁ;Servidor da Pasta de Cultura;Sobre a prestação de Contas.;Sobre a inserção do Plano de ação na Plataforma.
Secretaria de Esporte, Cultura, Turismo e Meio Ambiente;Secretaria Municipal de Educação;Diretora de Cultura;Diretor;Tomazina;41;PR;PARANÁ;Gestor da Pasta de Cultura;Gostaria de saber mais sobre a prestação de conta;Gostaria de saber sobre o plano de ação e prestação de conta
prefeitura municipal de Cafelândia;Prefeitura;diretora de cultura;Diretor;Cafelândia;41;PR;PARANÁ;Servidor da Pasta de Cultura;gostaria de saber como fazer as prestações de contas;como organizar e publicar o PAAR
PREFEITURA MUNICIPAL DE JAGUAPITÃ;Prefeitura;COORD. DO SISTEMA MUNICIPAL DE CULTURA;Coordenador;Jaguapitã;41;PR;PARANÁ;Gestor da Pasta de Cultura;No momento  nada pertinente;DÚVIDAS NA EXCUÇÃO  DO RECURSO.
Prefeitura Municipal de Turvo - PR;Prefeitura;Diretor de Cultura e Cerimoniais;Diretor;Turvo;41;PR;PARANÁ;Servidor da Pasta de Cultura;Data limite para prestação de contas, após a prorrogação dos editais;A Administração publica poderá fazer uso, para investimento em equipamentos de cultura?
Secretaria de Cultura - PROEM;Secretaria Municipal de Cultura;Diretora de Projetos;Diretor;Marechal Cândido Ron;41;PR;PARANÁ;Servidor da Pasta de Cultura;Servidora Pública responsável pela execução dos recursos.;Servidora Pública responsável pela execução dos recursos.
Secretaria de Cultura e Turismo de Almirante Tamandaré;Secretaria Municipal de Cultura;Técnica administrativa;Técnico;Almirante Tamandaré;41;PR;PARANÁ;Servidor da Pasta de Cultura;.;.
Secretaria Municipal de Educação;Secretaria Municipal de Educação;Secretária de Educação;Secretário;Querência do Norte;41;PR;PARANÁ;Gestor da Pasta de Cultura;"Precisamos de todo o apoio necessário.
Estamos na fase de licitação.";"Precisamos de todo o apoio necessário.
Estamos na fase de licitação."
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Diretora de Cultura;Diretor;Almirante Tamandaré;41;PR;PARANÁ;Gestor da Pasta de Cultura;Gostaria de saber mais sobre documentos que devem ser apresentados.;Como deve ser feito a triagem para destinar os recursos?
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Secretário de Cultura e Turismo;Secretário;Pitangueiras;41;PR;PARANÁ;Gestor da Pasta de Cultura;Sobrou 1500 reais do LPG, o que fazer?;Por enquanto não tenho dúvidas
SEMEL;Secretaria Municipal de Educação;Assistente administrativo;Auxiliar;Pinhais;41;PR;PARANÁ;Servidor da Pasta de Cultura;Prestação de contas;Cultura Viva e investimentos em equipamentos e bens
Departamento de cultura de Nova Aurora PR;Diretoria de Cultura;Técnica desportiva;Técnico;Nova Aurora;41;PR;PARANÁ;Servidor da Pasta de Cultura;Sobrou em torno de 12 mil reais de cada edital. E não fizemos a LOA ainda. É possível fazer um novo edital? E se possível pode ser um edital de premiação?;"As capacitações cursos pode fazer licitação e contratar empresa de fora?
Como funciona pq é fomento cultural? Tem que ser através de chamamento público?
E no subsídio grupo de artesanato podem participar?
O que é necessário além do mapeamento cultural e o cadastro deles no smiic ?"
SECRETARIA MUNICIPAL DE EDUCAÇÃO;Secretaria Municipal de Educação;SECRETÁRIA MUN. DE EDUCAÇÃO;Secretário;marilena;41;PR;PARANÁ;Gestor da Pasta de Cultura;Nenhuma, estamos de prestação de contas;Todas
Departamento Municipal de Cultura;Diretoria de Cultura;Diretora de Cultura;Diretor;Ramilândia;41;PR;PARANÁ;Servidor da Pasta de Cultura;0;0
PREFEITURA DE PINHAIS;Prefeitura;ASSISTENTE ADMINISTRATIVO;Auxiliar;Pinhais;41;PR;PARANÁ;Servidor da Pasta de Cultura;Existirá prorrogação para execução dos projetos pelos artistas, precisa ser concluído tudo ainda em 2024?;"Modelos e Minutas de editais do Cultura Viva com urgência.

Até quando os espaços, ambientes e iniciativas culturais poderão realizar contrapartidas? Dentro dos 180 dias da prestação de contas?

E os editais de fomento, como não há prestação de contas, podem executar até quando?"
MinCPR;Ministério da Cultura;servidora;Indefinido;curitiba;41;PR;PARANÁ;Servidor da Pasta de Cultura;Nenhuma específica;Nenhuma específica
